id,name,slug,logo,date_launched,notice,weekly_visits,spot_volume_usd
453,AscendEX (BitMax),ascendex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/453.png,2018-07-01T00:00:00.000Z,,1005338.0,610662530.1515685
6597,FlairDex,flairdex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6597.png,,,24.0,474.11188936
460,Coinsbit,coinsbit,https://s2.coinmarketcap.com/static/img/exchanges/64x64/460.png,2018-08-21T00:00:00.000Z,,13347.0,
10702,Coin8 Exchange,coin8-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/10702.png,2023-10-31T00:00:00.000Z,,5239.0,440995045.12989545
8658,Skydrome (Scroll),skydrome-scroll,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8658.png,,,111.0,9400.49490552
477,ProBit Global,probit-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/477.png,2018-11-30T00:00:00.000Z,,160385.0,460420680.3888521
479,Dcoin,dcoin,https://s2.coinmarketcap.com/static/img/exchanges/64x64/479.png,2018-05-01T00:00:00.000Z,,74.0,18266454.45626078
480,Cat.Ex,catex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/480.png,2018-08-13T00:00:00.000Z,,1145.0,35013124.36061647
487,VinDAX,vindax,https://s2.coinmarketcap.com/static/img/exchanges/64x64/487.png,2019-03-08T00:00:00.000Z,,3164.0,19415062.83950116
488,Coinmetro,coinmetro,https://s2.coinmarketcap.com/static/img/exchanges/64x64/488.png,2017-12-04T00:00:00.000Z,,5325.0,865219.89843499
491,SafeTrade,safetrade,https://s2.coinmarketcap.com/static/img/exchanges/64x64/491.png,,,6360.0,108942.00788909
6637,BloFin,blofin,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6637.png,2023-01-11T00:00:00.000Z,,128355.0,465042094.7188984
498,Polyx,polyx,https://s2.coinmarketcap.com/static/img/exchanges/64x64/498.png,2018-11-01T00:00:00.000Z,,56.0,32037414.88957237
500,Tokenize Xchange,tokenize-xchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/500.png,2018-02-01T00:00:00.000Z,,4435.0,89196736.58416602
501,WhiteBIT,whitebit,https://s2.coinmarketcap.com/static/img/exchanges/64x64/501.png,2018-12-01T00:00:00.000Z,,4809103.0,1220311517.3326688
503,Birake Exchange,birake-network,https://s2.coinmarketcap.com/static/img/exchanges/64x64/503.png,2018-12-27T00:00:00.000Z,,276.0,954.96584361
