crypto_id,exchange_id,exchange_name,exchange_slug
29837,"[302, 544]","['Gate.io', 'MEXC']","['gate-io', 'mexc']"
29840,"[9217, 1344]","['GroveX', 'PancakeSwap v2 (BSC)']","['grovex', 'pancakeswap-v2']"
29844,"[1348, 1069]","['Uniswap v3 (Ethereum)', 'Uniswap v2']","['uniswap-v3', 'uniswap-v2']"
29846,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
29852,"[1064, 1612, 1426, 1342]","['BingX', 'Jupiter', 'Orca', 'Raydium']","['bingx', 'jupiter', 'orca', 'raydium']"
29854,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
29855,"[350, 1612, 1426, 1342]","['CoinEx', 'Jupiter', 'Orca', 'Raydium']","['coinex', 'jupiter', 'orca', 'raydium']"
29856,[1344],['PancakeSwap v2 (BSC)'],['pancakeswap-v2']
29857,[9218],['Hibt'],['hibt']
29861,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
29863,[1069],['Uniswap v2'],['uniswap-v2']
29868,[1342],['Raydium'],['raydium']
